Dataset size:        3783    
Total of right:      2936     | 77.61% | With confidence:     88.19%
Total of wrong:      847      | 22.39% | With confidence:     60.24%

Precision per class:
0   ----> 79.55%
1   ----> 84.38%
2   ----> 63.41%
3   ----> 94.29%
4   ----> 83.87%
5   ----> 97.67%
6   ----> 69.77%
7   ----> 37.14%
8   ----> 100.00%
9   ----> 81.25%
10  ----> 92.11%
11  ----> 100.00%
12  ----> 68.42%
13  ----> 96.97%
14  ----> 33.33%
15  ----> 100.00%
16  ----> 71.43%
17  ----> 72.97%
18  ----> 100.00%
19  ----> 50.00%
20  ----> 78.79%
21  ----> 92.31%
22  ----> 30.56%
23  ----> 44.90%
24  ----> 100.00%
25  ----> 100.00%
26  ----> 86.67%
27  ----> 94.12%
28  ----> 72.50%
29  ----> 80.56%
30  ----> 86.49%
31  ----> 62.16%
32  ----> 76.92%
33  ----> 66.67%
34  ----> 39.39%
35  ----> 73.33%
36  ----> 78.57%
37  ----> 29.41%
38  ----> 65.85%
39  ----> 27.03%
40  ----> 97.14%
41  ----> 100.00%
42  ----> 82.35%
43  ----> 97.83%
44  ----> 58.06%
45  ----> 72.50%
46  ----> 72.97%
47  ----> 50.00%
48  ----> 88.89%
49  ----> 100.00%
50  ----> 79.49%
51  ----> 45.95%
52  ----> 60.61%
53  ----> 68.89%
54  ----> 73.53%
55  ----> 17.14%
56  ----> 97.30%
57  ----> 45.45%
58  ----> 84.09%
59  ----> 97.56%
60  ----> 100.00%
61  ----> 87.50%
62  ----> 90.70%
63  ----> 85.71%
64  ----> 97.73%
65  ----> 96.77%
66  ----> 96.43%
67  ----> 87.50%
68  ----> 77.14%
69  ----> 57.14%
70  ----> 87.18%
71  ----> 53.33%
72  ----> 96.43%
73  ----> 95.12%
74  ----> 73.53%
75  ----> 83.33%
76  ----> 69.77%
77  ----> 69.77%
78  ----> 39.13%
79  ----> 81.25%
80  ----> 82.50%
81  ----> 100.00%
82  ----> 96.77%
83  ----> 46.15%
84  ----> 82.93%
85  ----> 96.88%
86  ----> 97.06%
87  ----> 100.00%
88  ----> 85.71%
89  ----> 89.74%
90  ----> 42.86%
91  ----> 89.80%
92  ----> 78.95%
93  ----> 93.75%
94  ----> 90.70%
95  ----> 96.43%
96  ----> 100.00%
97  ----> 80.56%
98  ----> 45.71%
99  ----> 86.67%
100 ----> 50.00%
