Correct label   | Predicted label | Confidence     
       0        |        0        |      93.89     %
      26        |       26        |      97.37     %
      26        |       26        |      94.33     %
      26        |       26        |      80.42     %
      26        |       26        |      99.92     %
      26        |       26        |      99.93     %
      26        |       26        |      99.92     %
      26        |       26        |      99.93     %
      26        |       26        |      99.88     %
      26        |       26        |      99.90     %
      26        |       26        |      99.88     %
       2        |        2        |      75.59     %
      26        |       26        |      77.63     %
      26        |       26        |      74.54     %
      26        |       26        |      77.66     %
      26        |       26        |      76.87     %
      26        |       26        |      89.33     %
      26        |       26        |      90.24     %
      26        |       26        |      94.89     %
      26        |       26        |      89.37     %
      26        |       26        |      89.69     %
      26        |       26        |      92.96     %
       2        |        2        |      74.59     %
      26        |       26        |      91.63     %
      26        |       26        |      86.25     %
      26        |       26        |      98.98     %
      26        |       26        |      99.17     %
      26        |       26        |      99.65     %
      26        |       26        |      98.94     %
      26        |       26        |      99.66     %
      26        |       26        |      73.13     %
      26        |       54        |      34.33     %
      26        |       54        |      47.77     %
       2        |        2        |      72.01     %
      26        |       54        |      46.37     %
      26        |       54        |      45.20     %
      26        |       54        |      39.37     %
      26        |       54        |      43.65     %
      26        |       26        |      98.98     %
      26        |       26        |      98.08     %
      26        |       26        |      96.48     %
      26        |       26        |      97.23     %
      26        |       26        |      97.34     %
      26        |       26        |      98.34     %
       2        |        2        |      51.40     %
      26        |       26        |      99.18     %
      27        |       27        |      99.98     %
      27        |       27        |      98.49     %
      27        |       27        |      99.01     %
      27        |       27        |      99.63     %
      27        |       27        |      99.26     %
      27        |       27        |      96.42     %
      27        |       27        |      97.35     %
      27        |       27        |      81.83     %
      27        |       27        |      95.26     %
       2        |        2        |      72.14     %
      27        |       27        |      98.47     %
      27        |       27        |      91.42     %
      27        |       27        |      41.63     %
      27        |       55        |      48.62     %
      27        |       27        |      57.47     %
      27        |       27        |      61.23     %
      27        |        9        |      33.34     %
      27        |       27        |      90.78     %
      27        |       27        |      98.01     %
      27        |       27        |      95.01     %
       2        |       34        |      30.52     %
      27        |       27        |      97.43     %
      27        |       27        |      98.70     %
      27        |       27        |      76.37     %
      27        |       27        |      82.47     %
      27        |       27        |      99.37     %
      27        |       27        |      85.79     %
      27        |       27        |      93.04     %
      27        |       27        |      97.02     %
      27        |       27        |      93.79     %
      27        |       27        |      97.95     %
       2        |       42        |      28.24     %
      27        |       27        |      98.00     %
      27        |       27        |      97.95     %
      27        |       27        |      94.12     %
      27        |       27        |      97.55     %
      27        |       27        |      98.99     %
      28        |       28        |      94.29     %
      28        |       28        |      84.96     %
      28        |       28        |      88.30     %
      28        |       28        |      93.15     %
      28        |       28        |      95.98     %
       2        |       34        |      27.62     %
      28        |       50        |      36.31     %
      28        |       50        |      27.64     %
      28        |       50        |      40.29     %
      28        |       50        |      34.33     %
      28        |       50        |      27.45     %
      28        |       50        |      37.32     %
      28        |       28        |      56.87     %
      28        |       28        |      98.98     %
      28        |       28        |      99.18     %
      28        |       28        |      48.52     %
       2        |       34        |      75.61     %
      28        |       28        |      68.89     %
      28        |       28        |      33.91     %
      28        |       35        |      51.17     %
      28        |       35        |      45.76     %
      28        |       35        |      48.76     %
      28        |       28        |      59.17     %
      28        |       28        |      40.64     %
      28        |       28        |      99.95     %
      28        |       28        |      99.75     %
      28        |       28        |      99.95     %
       2        |       34        |      57.58     %
       0        |        1        |      93.27     %
      28        |       28        |      99.85     %
      28        |       28        |      99.82     %
      28        |       28        |      99.63     %
      28        |       28        |      99.85     %
      28        |       28        |      90.56     %
      28        |       28        |      72.28     %
      28        |       28        |      88.63     %
      28        |       28        |      72.90     %
      28        |       28        |      94.65     %
      28        |       28        |      90.71     %
       2        |       34        |      40.25     %
      28        |       28        |      81.10     %
      28        |       28        |      99.43     %
      28        |       28        |      75.92     %
      28        |       28        |      60.63     %
      28        |       28        |      98.99     %
      29        |       29        |      84.23     %
      29        |       29        |      89.67     %
      29        |       29        |      92.01     %
      29        |       29        |      89.18     %
      29        |       29        |      77.97     %
       2        |        2        |      68.01     %
      29        |       29        |      79.71     %
      29        |       29        |      75.38     %
      29        |       29        |      90.23     %
      29        |       29        |      69.44     %
      29        |        4        |      67.45     %
      29        |        4        |      70.53     %
      29        |       29        |      90.65     %
      29        |       29        |      75.75     %
      29        |       29        |      99.89     %
      29        |       29        |      96.83     %
       2        |        2        |      76.64     %
      29        |       29        |      88.85     %
      29        |       29        |      99.95     %
      29        |       29        |      99.64     %
      29        |       29        |      78.15     %
      29        |       29        |      71.78     %
      29        |       29        |      60.62     %
      29        |       29        |      81.31     %
      29        |       29        |      98.26     %
      29        |       29        |      97.40     %
      29        |       29        |      98.86     %
       2        |       21        |      61.89     %
      29        |       29        |      96.55     %
      29        |       29        |      86.86     %
      29        |       29        |      93.74     %
      29        |       29        |      97.24     %
      29        |       29        |      73.37     %
      29        |       29        |      93.46     %
      29        |       29        |      83.81     %
      29        |       29        |      91.28     %
      29        |       29        |      74.13     %
      29        |       29        |      75.10     %
       2        |        2        |      59.69     %
      29        |       29        |      94.47     %
      30        |       30        |      94.10     %
      30        |       30        |      85.16     %
      30        |       30        |      75.93     %
      30        |       30        |      92.88     %
      30        |       30        |      97.35     %
      30        |       30        |      95.45     %
      30        |       30        |      97.76     %
      30        |       30        |      99.94     %
      30        |       30        |      99.84     %
       2        |        2        |      73.60     %
      30        |       30        |      98.51     %
      30        |       30        |      99.59     %
      30        |       30        |      86.33     %
      30        |       30        |      78.94     %
      30        |       30        |      94.49     %
      30        |       30        |      99.88     %
      30        |       30        |      99.58     %
      30        |       30        |      99.60     %
      30        |       30        |      99.27     %
      30        |       30        |      99.51     %
       2        |       21        |      61.62     %
      30        |       30        |      99.07     %
      30        |       30        |      99.66     %
      30        |       78        |      75.03     %
      30        |       28        |      37.93     %
      30        |       78        |      84.29     %
      30        |       78        |      34.98     %
      30        |       32        |      58.99     %
      30        |       30        |      99.38     %
      30        |       30        |      99.66     %
      30        |       30        |      99.16     %
       3        |        3        |      95.28     %
      30        |       30        |      99.74     %
      30        |       30        |      99.79     %
      30        |       30        |      89.76     %
      30        |       30        |      85.91     %
      30        |       30        |      93.55     %
      30        |       30        |      81.26     %
      30        |       30        |      91.26     %
      30        |       30        |      77.34     %
      31        |       18        |      74.51     %
      31        |       18        |      80.55     %
       3        |        3        |      67.73     %
      31        |       18        |      84.34     %
      31        |       31        |      82.48     %
      31        |       31        |      89.61     %
      31        |       31        |      89.83     %
      31        |       31        |      86.83     %
      31        |       31        |      85.23     %
      31        |       31        |      95.19     %
      31        |       31        |      97.48     %
      31        |       31        |      98.85     %
      31        |       31        |      97.34     %
       3        |        3        |      78.29     %
       0        |        1        |      90.69     %
      31        |       31        |      95.17     %
      31        |       31        |      98.24     %
      31        |       18        |      55.08     %
      31        |       18        |      55.66     %
      31        |       35        |      37.88     %
      31        |       18        |      37.64     %
      31        |       18        |      74.10     %
      31        |       18        |      59.90     %
      31        |       18        |      47.40     %
      31        |       31        |      97.06     %
       3        |        3        |      66.36     %
      31        |       31        |      97.72     %
      31        |       73        |      75.46     %
      31        |       31        |      75.28     %
      31        |       31        |      99.61     %
      31        |       31        |      86.47     %
      31        |       31        |      92.85     %
      31        |       31        |      73.76     %
      31        |       31        |      98.09     %
      31        |       31        |      88.49     %
      31        |       31        |      64.98     %
       3        |        3        |      97.68     %
      31        |       81        |      89.49     %
      31        |       31        |      78.93     %
      31        |       85        |      60.23     %
      31        |       31        |      92.07     %
      31        |       31        |      76.61     %
      32        |       32        |      99.92     %
      32        |       32        |      99.90     %
      32        |       32        |      99.85     %
      32        |       32        |      99.60     %
      32        |       32        |      99.95     %
       3        |        3        |      99.92     %
      32        |       32        |      99.65     %
      32        |       32        |      83.86     %
      32        |        2        |      45.73     %
      32        |       83        |      80.18     %
      32        |       83        |      71.03     %
      32        |       32        |      51.43     %
      32        |       32        |      61.47     %
      32        |        2        |      66.89     %
      32        |        2        |      68.15     %
      32        |       32        |      55.96     %
       3        |        3        |      99.93     %
      32        |        2        |      49.37     %
      32        |        2        |      74.72     %
      32        |       83        |      78.19     %
      32        |       83        |      79.61     %
      32        |       32        |      96.27     %
      32        |       32        |      98.98     %
      32        |       32        |      95.76     %
      32        |       32        |      97.87     %
      32        |       32        |      83.18     %
      32        |       32        |      60.69     %
       3        |        3        |      99.79     %
      32        |       32        |      99.85     %
      32        |       32        |      96.71     %
      32        |       32        |      98.04     %
      32        |       32        |      74.10     %
      32        |       32        |      90.55     %
      32        |       30        |      81.06     %
      32        |       22        |      65.23     %
      32        |       32        |      99.71     %
      32        |       32        |      98.07     %
      32        |       32        |      74.47     %
       3        |        3        |      99.99     %
      32        |       32        |      98.62     %
      32        |       32        |      94.49     %
      32        |       32        |      90.80     %
      32        |       32        |      80.04     %
      33        |       33        |      75.62     %
      33        |       33        |      93.53     %
      33        |       33        |      79.54     %
      33        |       33        |      83.30     %
      33        |       33        |      97.88     %
      33        |       38        |      54.70     %
       3        |        3        |      97.73     %
      33        |       33        |      92.09     %
      33        |       33        |      80.50     %
      33        |       12        |      88.65     %
      33        |       33        |      69.34     %
      33        |       33        |      32.39     %
      33        |       33        |      71.82     %
      33        |       33        |      45.84     %
      33        |       33        |      64.84     %
      33        |       12        |      85.73     %
      33        |       12        |      95.08     %
       3        |        3        |      84.23     %
      33        |       12        |      98.70     %
      33        |       12        |      93.69     %
      33        |       12        |      58.33     %
      33        |       33        |      75.36     %
      33        |       33        |      63.77     %
      33        |       33        |      84.31     %
      33        |       33        |      71.99     %
      33        |       33        |      97.01     %
      33        |       33        |      99.86     %
      33        |       33        |      95.54     %
       3        |        3        |      80.91     %
      33        |       33        |      69.00     %
      33        |       33        |      69.67     %
      33        |       33        |      77.64     %
      33        |       33        |      78.73     %
      33        |       33        |      98.83     %
      33        |       33        |      96.71     %
      33        |       33        |      99.25     %
      34        |       19        |      73.37     %
      34        |       12        |      59.52     %
      34        |       77        |      70.43     %
       3        |       54        |      67.55     %
       0        |        1        |      70.28     %
      34        |       12        |      27.62     %
      34        |       19        |      45.89     %
      34        |       38        |      52.14     %
      34        |       19        |      79.66     %
      34        |       19        |      81.93     %
      34        |       54        |      96.23     %
      34        |       54        |      74.35     %
      34        |       34        |      82.97     %
      34        |       34        |      80.01     %
      34        |       54        |      59.27     %
       3        |        3        |      81.39     %
      34        |       38        |      68.09     %
      34        |       38        |      66.00     %
      34        |       38        |      66.12     %
      34        |       38        |      41.61     %
      34        |       38        |      55.55     %
      34        |        2        |      51.38     %
      34        |       38        |      50.60     %
      34        |       38        |      56.79     %
      34        |       38        |      65.60     %
      34        |       34        |      99.75     %
       3        |        3        |      95.69     %
      34        |       34        |      99.77     %
      34        |       34        |      99.50     %
      34        |       34        |      99.56     %
      34        |       34        |      99.56     %
      34        |       34        |      99.72     %
