Dataset size:        3783    
Total of right:      2952     | 78.03% | With confidence:     90.02%
Total of wrong:      831      | 21.97% | With confidence:     63.86%

Precision per class:
0   ----> 77.27%
1   ----> 81.25%
2   ----> 65.85%
3   ----> 91.43%
4   ----> 96.77%
5   ----> 97.67%
6   ----> 74.42%
7   ----> 40.00%
8   ----> 100.00%
9   ----> 70.83%
10  ----> 81.58%
11  ----> 100.00%
12  ----> 81.58%
13  ----> 96.97%
14  ----> 40.00%
15  ----> 100.00%
16  ----> 81.63%
17  ----> 70.27%
18  ----> 96.43%
19  ----> 52.78%
20  ----> 75.76%
21  ----> 92.31%
22  ----> 22.22%
23  ----> 44.90%
24  ----> 100.00%
25  ----> 100.00%
26  ----> 86.67%
27  ----> 94.12%
28  ----> 77.50%
29  ----> 94.44%
30  ----> 86.49%
31  ----> 64.86%
32  ----> 71.79%
33  ----> 78.79%
34  ----> 39.39%
35  ----> 75.56%
36  ----> 71.43%
37  ----> 32.35%
38  ----> 65.85%
39  ----> 27.03%
40  ----> 100.00%
41  ----> 97.96%
42  ----> 79.41%
43  ----> 97.83%
44  ----> 70.97%
45  ----> 72.50%
46  ----> 72.97%
47  ----> 34.21%
48  ----> 83.33%
49  ----> 100.00%
50  ----> 79.49%
51  ----> 45.95%
52  ----> 69.70%
53  ----> 73.33%
54  ----> 76.47%
55  ----> 11.43%
56  ----> 97.30%
57  ----> 45.45%
58  ----> 84.09%
59  ----> 100.00%
60  ----> 100.00%
61  ----> 95.83%
62  ----> 88.37%
63  ----> 85.71%
64  ----> 97.73%
65  ----> 100.00%
66  ----> 96.43%
67  ----> 87.50%
68  ----> 80.00%
69  ----> 57.14%
70  ----> 87.18%
71  ----> 50.00%
72  ----> 96.43%
73  ----> 95.12%
74  ----> 73.53%
75  ----> 88.89%
76  ----> 74.42%
77  ----> 62.79%
78  ----> 41.30%
79  ----> 78.12%
80  ----> 77.50%
81  ----> 100.00%
82  ----> 100.00%
83  ----> 46.15%
84  ----> 82.93%
85  ----> 96.88%
86  ----> 97.06%
87  ----> 96.97%
88  ----> 80.95%
89  ----> 89.74%
90  ----> 42.86%
91  ----> 91.84%
92  ----> 76.32%
93  ----> 93.75%
94  ----> 90.70%
95  ----> 96.43%
96  ----> 100.00%
97  ----> 80.56%
98  ----> 60.00%
99  ----> 88.89%
100 ----> 38.89%
