Correct label   | Predicted label | Confidence     
       0        |        0        |      84.75     %
      26        |       26        |      95.09     %
      26        |       26        |      93.02     %
      26        |       26        |      79.44     %
      26        |       26        |      99.83     %
      26        |       26        |      99.81     %
      26        |       26        |      99.82     %
      26        |       26        |      99.83     %
      26        |       26        |      99.81     %
      26        |       26        |      99.76     %
      26        |       26        |      99.84     %
       2        |        2        |      68.05     %
      26        |       26        |      83.02     %
      26        |       26        |      68.33     %
      26        |       26        |      80.68     %
      26        |       26        |      69.62     %
      26        |       26        |      84.29     %
      26        |       26        |      87.66     %
      26        |       26        |      89.20     %
      26        |       26        |      81.90     %
      26        |       26        |      84.42     %
      26        |       26        |      89.60     %
       2        |       61        |      79.34     %
      26        |       26        |      89.80     %
      26        |       26        |      78.17     %
      26        |       26        |      99.25     %
      26        |       26        |      99.36     %
      26        |       26        |      99.63     %
      26        |       26        |      99.10     %
      26        |       26        |      99.58     %
      26        |       26        |      53.49     %
      26        |        2        |      40.01     %
      26        |        2        |      44.42     %
       2        |        2        |      64.51     %
      26        |        2        |      42.04     %
      26        |        2        |      40.33     %
      26        |        2        |      43.22     %
      26        |        2        |      48.11     %
      26        |       26        |      96.10     %
      26        |       26        |      95.98     %
      26        |       26        |      94.54     %
      26        |       26        |      94.86     %
      26        |       26        |      94.05     %
      26        |       26        |      97.45     %
       2        |       80        |      44.85     %
      26        |       26        |      97.07     %
      27        |       27        |      99.94     %
      27        |       27        |      98.56     %
      27        |       27        |      99.16     %
      27        |       27        |      99.76     %
      27        |       27        |      98.35     %
      27        |       27        |      97.66     %
      27        |       27        |      94.55     %
      27        |       27        |      88.51     %
      27        |       27        |      95.64     %
       2        |       80        |      55.63     %
      27        |       27        |      97.86     %
      27        |       27        |      91.83     %
      27        |       27        |      47.86     %
      27        |        5        |      36.60     %
      27        |       27        |      51.03     %
      27        |       27        |      57.20     %
      27        |        9        |      48.31     %
      27        |       27        |      90.64     %
      27        |       27        |      96.17     %
      27        |       27        |      95.80     %
       2        |        2        |      31.65     %
      27        |       27        |      97.84     %
      27        |       27        |      97.14     %
      27        |       27        |      74.69     %
      27        |       27        |      83.02     %
      27        |       27        |      99.09     %
      27        |       27        |      85.37     %
      27        |       27        |      96.50     %
      27        |       27        |      97.38     %
      27        |       27        |      92.63     %
      27        |       27        |      95.99     %
       2        |        2        |      37.12     %
      27        |       27        |      94.17     %
      27        |       27        |      96.98     %
      27        |       27        |      94.19     %
      27        |       27        |      94.39     %
      27        |       27        |      99.02     %
      28        |       28        |      83.90     %
      28        |       28        |      72.66     %
      28        |       28        |      82.37     %
      28        |       28        |      86.78     %
      28        |       28        |      90.43     %
       2        |        2        |      38.76     %
      28        |       50        |      32.52     %
      28        |       84        |      31.93     %
      28        |       50        |      36.58     %
      28        |       50        |      33.86     %
      28        |       84        |      33.97     %
      28        |       50        |      37.28     %
      28        |       84        |      56.75     %
      28        |       28        |      96.95     %
      28        |       28        |      97.72     %
      28        |       28        |      40.04     %
       2        |       34        |      58.02     %
      28        |       28        |      49.58     %
      28        |       28        |      22.02     %
      28        |       35        |      38.16     %
      28        |       35        |      40.05     %
      28        |       35        |      38.81     %
      28        |       28        |      46.25     %
      28        |       28        |      38.28     %
      28        |       28        |      99.78     %
      28        |       28        |      99.25     %
      28        |       28        |      99.78     %
       2        |       34        |      40.34     %
       0        |        1        |      98.45     %
      28        |       28        |      99.51     %
      28        |       28        |      99.62     %
      28        |       28        |      99.22     %
      28        |       28        |      99.52     %
      28        |       28        |      90.50     %
      28        |       28        |      76.62     %
      28        |       28        |      83.21     %
      28        |       28        |      81.18     %
      28        |       28        |      93.88     %
      28        |       28        |      90.55     %
       2        |        2        |      35.22     %
      28        |       28        |      85.61     %
      28        |       28        |      98.91     %
      28        |       28        |      64.00     %
      28        |       30        |      69.11     %
      28        |       28        |      95.41     %
      29        |       29        |      82.12     %
      29        |       29        |      94.30     %
      29        |       29        |      92.99     %
      29        |       29        |      92.59     %
      29        |       29        |      86.74     %
       2        |        2        |      61.01     %
      29        |       29        |      73.33     %
      29        |       29        |      67.35     %
      29        |       29        |      83.39     %
      29        |       29        |      54.49     %
      29        |        4        |      69.82     %
      29        |       29        |      82.78     %
      29        |       29        |      90.08     %
      29        |       29        |      76.90     %
      29        |       29        |      99.72     %
      29        |       29        |      91.20     %
       2        |        2        |      61.08     %
      29        |       29        |      81.71     %
      29        |       29        |      99.75     %
