Correct label   | Predicted label | Confidence     
       0        |       26        |      50.64     %
      26        |       26        |      73.10     %
      26        |       10        |      51.54     %
      26        |       10        |      65.41     %
      26        |       26        |      83.82     %
      26        |       26        |      89.46     %
      26        |       26        |      94.36     %
      26        |       26        |      85.72     %
      26        |       26        |      90.31     %
      26        |       26        |      86.48     %
      26        |       26        |      89.75     %
       2        |       45        |      29.49     %
      26        |       85        |      40.02     %
      26        |        5        |      63.43     %
      26        |       85        |      47.18     %
      26        |       26        |      55.23     %
      26        |        5        |      48.86     %
      26        |       26        |      56.13     %
      26        |       26        |      64.05     %
      26        |       26        |      70.32     %
      26        |       26        |      57.96     %
      26        |       62        |      45.08     %
       2        |       45        |      29.00     %
      26        |       26        |      74.79     %
      26        |       26        |      64.51     %
      26        |       12        |      49.46     %
      26        |       12        |      50.25     %
      26        |       85        |      39.49     %
      26        |       85        |      53.03     %
      26        |       85        |      39.12     %
      26        |       82        |      77.52     %
      26        |       60        |      46.63     %
      26        |       60        |      38.76     %
       2        |       45        |      32.45     %
      26        |       60        |      43.13     %
      26        |       60        |      38.57     %
      26        |       60        |      38.93     %
      26        |       60        |      35.52     %
      26        |       38        |      23.46     %
      26        |       74        |      24.18     %
      26        |       15        |      22.91     %
      26        |       15        |      20.80     %
      26        |       74        |      27.51     %
      26        |       33        |      27.68     %
       2        |       48        |      57.20     %
      26        |       33        |      25.34     %
      27        |       67        |      82.66     %
      27        |       67        |      79.87     %
      27        |       67        |      93.32     %
      27        |       67        |      88.95     %
      27        |        6        |      48.71     %
      27        |       67        |      90.08     %
      27        |       27        |      60.49     %
      27        |       57        |      53.36     %
      27        |       27        |      69.17     %
       2        |       48        |      43.08     %
      27        |       27        |      52.08     %
      27        |       27        |      29.02     %
      27        |        5        |      67.32     %
      27        |        5        |      20.95     %
      27        |        5        |      57.78     %
      27        |        5        |      76.24     %
      27        |        5        |      51.98     %
      27        |       27        |      88.92     %
      27        |       27        |      98.42     %
      27        |       27        |      87.02     %
       2        |       85        |      41.64     %
      27        |       27        |      95.91     %
      27        |       27        |      96.82     %
      27        |        6        |      57.86     %
      27        |        6        |      68.45     %
      27        |        6        |      77.14     %
      27        |       27        |      75.67     %
      27        |       27        |      99.64     %
      27        |       29        |      52.99     %
      27        |       29        |      75.26     %
      27        |       29        |      69.25     %
       2        |       74        |      36.71     %
      27        |       29        |      94.56     %
      27        |       27        |      96.36     %
      27        |       27        |      98.71     %
      27        |       27        |      97.82     %
      27        |       27        |      93.79     %
      28        |       28        |      89.82     %
      28        |       28        |      87.65     %
      28        |       28        |      81.09     %
      28        |       28        |      91.21     %
      28        |       28        |      75.51     %
       2        |       85        |      48.66     %
      28        |       88        |      64.79     %
      28        |       88        |      53.29     %
      28        |       88        |      73.22     %
      28        |       88        |      61.23     %
      28        |       88        |      67.23     %
      28        |       88        |      70.63     %
      28        |       28        |      59.44     %
      28        |       28        |      99.15     %
      28        |       28        |      99.96     %
      28        |       27        |      81.92     %
       2        |       85        |      63.60     %
      28        |       28        |      80.84     %
      28        |       28        |      69.14     %
      28        |       28        |      60.50     %
      28        |       28        |      82.84     %
      28        |       28        |      80.29     %
      28        |       28        |      83.16     %
      28        |       28        |      84.59     %
      28        |       28        |      99.85     %
      28        |       28        |      99.56     %
      28        |       28        |      99.66     %
       2        |       85        |      58.84     %
       0        |        1        |      84.59     %
      28        |       28        |      99.86     %
      28        |       28        |      99.78     %
      28        |       28        |      99.93     %
      28        |       28        |      99.90     %
      28        |       30        |      99.21     %
      28        |       30        |      99.90     %
      28        |       30        |      99.64     %
      28        |       30        |      99.84     %
      28        |       30        |      99.44     %
      28        |       30        |      99.29     %
       2        |       85        |      44.27     %
      28        |       30        |      99.80     %
      28        |       28        |      95.05     %
      28        |       28        |      61.04     %
      28        |       30        |     100.00     %
      28        |       28        |      48.04     %
      29        |       29        |      89.11     %
      29        |       85        |      64.06     %
      29        |       29        |      92.81     %
      29        |       29        |      84.64     %
      29        |       29        |      89.22     %
       2        |       21        |      57.21     %
      29        |       43        |      62.53     %
      29        |       79        |      28.50     %
      29        |       43        |      61.14     %
      29        |        4        |      64.13     %
      29        |       95        |      79.15     %
      29        |       57        |      35.58     %
      29        |       89        |      63.64     %
      29        |       95        |      66.13     %
      29        |       29        |      88.30     %
      29        |       29        |      84.47     %
       2        |       21        |      84.98     %
      29        |       29        |      97.91     %
      29        |       29        |      75.35     %
      29        |       29        |      95.95     %
      29        |       29        |      63.74     %
      29        |       29        |      60.46     %
      29        |       29        |      60.33     %
      29        |       29        |      62.83     %
      29        |       29        |      90.55     %
      29        |       29        |      90.76     %
      29        |       29        |      99.32     %
       2        |       21        |      75.22     %
      29        |       11        |      47.80     %
      29        |       11        |      72.32     %
      29        |       11        |      49.53     %
      29        |       11        |      55.40     %
      29        |       29        |      90.02     %
      29        |       29        |      78.58     %
      29        |       29        |      87.52     %
      29        |       29        |      80.47     %
      29        |       29        |      83.26     %
      29        |       29        |      86.15     %
       2        |       21        |      86.17     %
      29        |       29        |      87.83     %
      30        |       30        |      77.36     %
      30        |       30        |      98.60     %
      30        |       87        |      53.44     %
      30        |       30        |      75.47     %
      30        |       30        |      97.20     %
      30        |       30        |      93.11     %
      30        |       30        |      95.71     %
      30        |       30        |      98.77     %
      30        |       30        |      94.19     %
       2        |       21        |      86.77     %
      30        |       30        |      91.75     %
      30        |       30        |      88.03     %
      30        |       28        |      66.32     %
      30        |       28        |      71.20     %
      30        |       28        |      89.10     %
      30        |       28        |      94.60     %
      30        |       30        |      99.85     %
      30        |       30        |      99.92     %
      30        |       30        |      99.68     %
      30        |       30        |      99.98     %
       2        |       21        |      69.81     %
      30        |       30        |      99.91     %
      30        |       30        |      99.81     %
      30        |       41        |      62.93     %
      30        |       32        |      49.03     %
      30        |       32        |      52.39     %
      30        |       41        |      63.64     %
      30        |       32        |      52.78     %
      30        |       30        |      43.38     %
      30        |       30        |      47.36     %
      30        |       83        |      59.40     %
       3        |       54        |      23.31     %
      30        |       83        |      68.42     %
      30        |       84        |      68.81     %
      30        |       30        |      98.70     %
      30        |       30        |      80.25     %
      30        |       30        |      98.47     %
      30        |       30        |      91.90     %
      30        |       30        |      97.71     %
      30        |       30        |      71.77     %
      31        |       18        |      68.33     %
      31        |       18        |      66.26     %
       3        |       73        |      39.61     %
      31        |       18        |      62.65     %
      31        |       18        |      70.07     %
      31        |       18        |      72.81     %
      31        |       18        |      72.34     %
      31        |       18        |      57.34     %
      31        |       18        |      58.46     %
      31        |       18        |      91.68     %
      31        |       18        |      63.00     %
      31        |       18        |      71.82     %
      31        |       18        |      92.72     %
       3        |       73        |      45.77     %
       0        |        1        |      80.69     %
      31        |       18        |      96.88     %
      31        |       18        |      71.59     %
      31        |       18        |      70.71     %
      31        |       18        |      86.67     %
      31        |       80        |      55.21     %
      31        |       18        |      76.62     %
      31        |       18        |      86.00     %
      31        |       18        |      71.25     %
      31        |       80        |      69.04     %
      31        |       31        |      98.25     %
       3        |       73        |      28.10     %
      31        |       31        |      93.12     %
      31        |       31        |      76.11     %
      31        |       31        |      81.72     %
      31        |       31        |      70.12     %
      31        |       31        |      66.06     %
      31        |       31        |      84.28     %
      31        |       25        |      41.98     %
      31        |       31        |      79.80     %
      31        |       31        |      78.42     %
      31        |       25        |      57.64     %
       3        |        3        |      99.88     %
      31        |       81        |      67.22     %
      31        |       31        |      61.37     %
      31        |       29        |      47.48     %
      31        |       81        |      96.23     %
      31        |       31        |      59.61     %
      32        |       32        |      99.98     %
      32        |       32        |      99.98     %
      32        |       32        |      99.86     %
      32        |       32        |      99.82     %
      32        |       32        |      99.98     %
       3        |        3        |      97.25     %
      32        |       32        |      99.85     %
      32        |       67        |      77.19     %
      32        |       23        |      85.86     %
      32        |       23        |      82.41     %
      32        |       23        |      80.36     %
      32        |       45        |      41.95     %
