Dataset size:        3783    
Total of right:      1766     | 46.68% | With confidence:     82.54%
Total of wrong:      2017     | 53.32% | With confidence:     50.68%

Precision per class:
0   ----> 38.64%
1   ----> 21.88%
2   ----> 14.63%
3   ----> 60.00%
4   ----> 51.61%
5   ----> 93.02%
6   ----> 76.74%
7   ----> 31.43%
8   ----> 100.00%
9   ----> 14.58%
10  ----> 57.89%
11  ----> 100.00%
12  ----> 68.42%
13  ----> 57.58%
14  ----> 16.67%
15  ----> 95.35%
17  ----> 35.14%
18  ----> 96.43%
19  ----> 2.78 %
20  ----> 36.36%
21  ----> 79.49%
22  ----> 30.56%
23  ----> 18.37%
24  ----> 51.52%
25  ----> 97.78%
26  ----> 42.22%
27  ----> 44.12%
28  ----> 62.50%
29  ----> 63.89%
30  ----> 64.86%
31  ----> 29.73%
32  ----> 51.28%
33  ----> 21.21%
34  ----> 9.09 %
35  ----> 64.44%
36  ----> 46.43%
38  ----> 31.71%
39  ----> 18.92%
40  ----> 91.43%
41  ----> 93.88%
42  ----> 47.06%
43  ----> 93.48%
44  ----> 48.39%
45  ----> 30.00%
46  ----> 48.65%
47  ----> 10.53%
48  ----> 52.78%
49  ----> 79.41%
50  ----> 35.90%
51  ----> 21.62%
52  ----> 54.55%
53  ----> 20.00%
54  ----> 17.65%
56  ----> 78.38%
57  ----> 12.12%
58  ----> 22.73%
61  ----> 33.33%
62  ----> 11.63%
63  ----> 71.43%
64  ----> 38.64%
65  ----> 83.87%
66  ----> 50.00%
67  ----> 80.00%
68  ----> 40.00%
69  ----> 21.43%
70  ----> 89.74%
72  ----> 96.43%
73  ----> 60.98%
74  ----> 14.71%
75  ----> 61.11%
76  ----> 6.98 %
77  ----> 2.33 %
78  ----> 15.22%
79  ----> 59.38%
80  ----> 67.50%
81  ----> 96.43%
82  ----> 90.32%
83  ----> 23.08%
84  ----> 95.12%
85  ----> 59.38%
86  ----> 82.35%
87  ----> 87.88%
88  ----> 54.76%
89  ----> 17.95%
90  ----> 32.14%
91  ----> 81.63%
92  ----> 52.63%
93  ----> 65.62%
94  ----> 18.60%
95  ----> 85.71%
96  ----> 65.71%
97  ----> 44.44%
98  ----> 2.86 %
99  ----> 48.89%
